id.exposure	id.outcome	exposure	outcome	snp_r2.exposure	snp_r2.outcome	correct_causal_direction	steiger_pval
3Q2QA2	ieu-b-4957	10832_24_B4GALT6_B4GT6	ieu-b-4957	0.124068009154359	0.000149079344305082	TRUE	NA
3Qhre6	ieu-b-4957	17791_25_HPCAL1_HPCL1	ieu-b-4957	0.00764080552867706	0.000657094813929006	TRUE	NA
3QIVLo	ieu-b-4957	9076_25_PENK_PENK	ieu-b-4957	0.16471935921969	1.62916941692333e-06	TRUE	NA
3Qt0FM	ieu-b-4957	5069_9_CD55_DAF	ieu-b-4957	0.0943638408457082	3.97362600108255e-05	TRUE	NA
3Szljn	ieu-b-4957	3298_52_CNTN4_Contactin_4	ieu-b-4957	0.0227597259440556	6.27018571065103e-06	TRUE	NA
3WhVeH	ieu-b-4957	5109_24_NRCAM_Nr_CAM	ieu-b-4957	0.00159310124549965	6.26435388891352e-05	TRUE	NA
3xLNJW	ieu-b-4957	2644_11_PRKCA_PKC_A	ieu-b-4957	0.00297933143650692	0.000620985711198125	TRUE	NA
3xU7Kv	ieu-b-4957	8916_32_STIM1_STIM1	ieu-b-4957	0.0040945458439365	3.46648658715487e-06	TRUE	NA
44FibD	ieu-b-4957	2974_61_CNTN1_contactin_1	ieu-b-4957	0.0186608904415548	0.000780353519604055	TRUE	NA
4c0Xgo	ieu-b-4957	4314_12_DCTPP1_XTP3A	ieu-b-4957	0.00125016673027867	0.000806566315401797	TRUE	NA
4dcZZd	ieu-b-4957	7981_230_B3GALT6_B3GT6	ieu-b-4957	0.00128747847644743	0.000226964647109452	TRUE	NA
4FikI1	ieu-b-4957	16890_37_ADAMTSL1_ATL1	ieu-b-4957	0.0253070938233866	3.55443304606946e-05	TRUE	NA
4gvXzp	ieu-b-4957	8345_27_GPX7_GPX7	ieu-b-4957	0.158305866742608	0.000114253335106884	TRUE	NA
4kDbcR	ieu-b-4957	8243_55_SPINK1_TATI	ieu-b-4957	0.00654713161274625	0.000443186245665321	TRUE	NA
4lFbYZ	ieu-b-4957	9370_69_GGH_GGH	ieu-b-4957	0.0865212940432663	5.43863740721543e-05	TRUE	NA
4qcnLq	ieu-b-4957	6998_106_ASPH_HAAH	ieu-b-4957	0.0043312826250419	2.00942343735849e-05	TRUE	NA
4riQu9	ieu-b-4957	6364_7_TAPBPL_TPSNR	ieu-b-4957	0.788190636385548	0.000979712702092028	TRUE	NA
4YrBm1	ieu-b-4957	16781_2_ENGASE_ENASE	ieu-b-4957	0.117968876707181	9.11886901899257e-05	TRUE	NA
4z3EWR	ieu-b-4957	4297_62_SPON1_Spondin_1	ieu-b-4957	0.0367141886810034	3.2002292204059e-05	TRUE	NA
50yLqJ	ieu-b-4957	3805_16_ESM1_Endocan	ieu-b-4957	0.00802808167731482	0.000170407254217898	TRUE	NA
513XsP	ieu-b-4957	12612_37_PSMB1_PSB1	ieu-b-4957	0.0620176604115884	0.000569091604083042	TRUE	NA
